('Instant food products',),	0.008032536858159633
('UHT-milk',),	0.03345195729537367
('baking powder',),	0.017691916624300967
('beef',),	0.05246568378240976
('berries',),	0.033248601931875954
('beverages',),	0.026029486527707167
('bottled beer',),	0.08052872394509406
('bottled water',),	0.11052364006100661
('brown bread',),	0.06487036095577021
('butter',),	0.05541433655312659
('butter milk',),	0.027961362480935434
('cake bar',),	0.013218098627351297
('candles',),	0.008947635993899338
('candy',),	0.0298932384341637
('canned beer',),	0.07768174885612608
('canned fish',),	0.015048296898830707
('canned vegetables',),	0.010777834265378749
('cat food',),	0.023284189120488054
('cereals',),	0.0056939501779359435
('chewing gum',),	0.021047280122013217
('chicken',),	0.04290798169801729
('chocolate',),	0.04961870869344179
('chocolate marshmallow',),	0.009049313675648195
('citrus fruit',),	0.08276563294356888
('cleaner',),	0.005083884087442806
('cling film/bags',),	0.011387900355871887
('coffee',),	0.05805795627859685
('condensed milk',),	0.010269445856634469
('cream cheese ',),	0.03965429588205389
('curd',),	0.05327910523640061
('curd cheese',),	0.005083884087442806
('dental care',),	0.005795627859684799
('dessert',),	0.03711235383833249
('detergent',),	0.019217081850533807
('dish cleaner',),	0.01047280122013218
('dishes',),	0.01759023894255211
('dog food',),	0.008540925266903915
('domestic eggs',),	0.06344687341128623
('female sanitary products',),	0.006100660904931368
('finished products',),	0.006507371631926792
('flour',),	0.017386883579054397
('flower (seeds)',),	0.010371123538383325
('frankfurter',),	0.058973055414336555
('frozen dessert',),	0.010777834265378749
('frozen fish',),	0.011692933401118455
('frozen meals',),	0.02836807320793086
('frozen potato products',),	0.008439247585155059
('frozen vegetables',),	0.04809354346720895
('fruit/vegetable juice',),	0.0722928317234367
('grapes',),	0.022369089984748347
('ham',),	0.026029486527707167
('hamburger meat',),	0.033248601931875954
('hard cheese',),	0.024504321301474327
('herbs',),	0.01626842907981698
('house keeping products',),	0.008337569903406202
('hygiene articles',),	0.03294356888662939
('ice cream',),	0.025012709710218607
('instant coffee',),	0.007422470767666497
('jam',),	0.005388917132689374
('kitchen towels',),	0.005998983223182512
('liquor',),	0.011082867310625319
('liquor (appetizer)',),	0.007930859176410779
('liver loaf',),	0.005083884087442806
('long life bakery product',),	0.037417386883579054
('margarine',),	0.05856634468734113
('mayonnaise',),	0.009150991357397052
('meat',),	0.025826131164209457
('misc. beverages',),	0.02836807320793086
('mustard',),	0.011997966446365024
('napkins',),	0.05236400610066091
('newspapers',),	0.07981698017285206
('oil',),	0.02806304016268429
('onions',),	0.031011692933401117
('other vegetables',),	0.1934926283680732
('packaged fruit/vegetables',),	0.013014743263853584
('pasta',),	0.015048296898830707
('pastry',),	0.08896797153024912
('pet care',),	0.00945602440264362
('photo/film',),	0.009252669039145907
('pickled vegetables',),	0.017895271987798677
('pip fruit',),	0.07564819522114896
('popcorn',),	0.007219115404168785
('pork',),	0.05765124555160142
('pot plants',),	0.01728520589730554
('processed cheese',),	0.016573462125063547
('red/blush wine',),	0.019217081850533807
('rice',),	0.007625826131164209
('roll products ',),	0.010269445856634469
('rolls/buns',),	0.18393492628368074
('root vegetables',),	0.10899847483477376
('salt',),	0.010777834265378749
('salty snack',),	0.03782409761057448
('sauces',),	0.005490594814438231
('sausage',),	0.09395017793594305
('seasonal products',),	0.014234875444839857
('semi-finished bread',),	0.017691916624300967
('shopping bags',),	0.09852567361464158
('sliced cheese',),	0.024504321301474327
('soda',),	0.17437722419928825
('soft cheese',),	0.01708185053380783
('softener',),	0.005490594814438231
('soups',),	0.00681240467717336
('sparkling wine',),	0.005592272496187087
('specialty bar',),	0.027351296390442297
('specialty cheese',),	0.008540925266903915
('specialty chocolate',),	0.03040162684290798
('spices',),	0.005185561769191663
('spread cheese',),	0.011184544992374174
('sugar',),	0.03385866802236909
('sweet spreads',),	0.009049313675648195
('tropical fruit',),	0.10493136756481952
('turkey',),	0.00813421453990849
('vinegar',),	0.006507371631926792
('waffles',),	0.038434163701067614
('whipped/sour cream',),	0.07168276563294357
('white bread',),	0.042094560244026434
('white wine',),	0.019013726487036097
('whole milk',),	0.25551601423487547
('yogurt',),	0.13950177935943062
('zwieback',),	0.006914082358922217
('UHT-milk', 'bottled water'),	0.007320793085917641
('other vegetables', 'UHT-milk'),	0.00813421453990849
('UHT-milk', 'rolls/buns'),	0.006405693950177936
('soda', 'UHT-milk'),	0.007625826131164209
('UHT-milk', 'yogurt'),	0.007422470767666497
('other vegetables', 'baking powder'),	0.007320793085917641
('baking powder', 'whole milk'),	0.009252669039145907
('beef', 'bottled water'),	0.0062023385866802234
('beef', 'butter'),	0.005795627859684799
('beef', 'citrus fruit'),	0.008439247585155059
('beef', 'domestic eggs'),	0.005998983223182512
('beef', 'fruit/vegetable juice'),	0.005083884087442806
('beef', 'margarine'),	0.0062023385866802234
('beef', 'newspapers'),	0.006405693950177936
('beef', 'other vegetables'),	0.019725470259278087
('beef', 'pastry'),	0.00630401626842908
('beef', 'pork'),	0.007625826131164209
('beef', 'rolls/buns'),	0.01362480935434672
('beef', 'root vegetables'),	0.017386883579054397
('beef', 'sausage'),	0.005592272496187087
('beef', 'soda'),	0.00813421453990849
('beef', 'tropical fruit'),	0.007625826131164209
('beef', 'whipped/sour cream'),	0.006710726995424504
('beef', 'whole milk'),	0.02125063548551093
('beef', 'yogurt'),	0.011692933401118455
('berries', 'citrus fruit'),	0.005388917132689374
('other vegetables', 'berries'),	0.010269445856634469
('berries', 'rolls/buns'),	0.0066090493136756485
('berries', 'root vegetables'),	0.0066090493136756485
('berries', 'soda'),	0.007320793085917641
