Wall time,Step,Value
1702802121.662799,0,0.7888888716697693
1702802121.855743,1,0.9069444537162781
1702802121.99914,2,0.926111102104187
1702802122.14736,3,0.9266666769981384
1702802122.298999,4,0.9277777671813965
1702802122.442232,5,0.9258333444595337
1702802122.584476,6,0.9272222518920898
1702802122.729052,7,0.9258333444595337
1702802122.873843,8,0.9275000095367432
1702802123.019375,9,0.929444432258606
1702802123.16307,10,0.9277777671813965
1702802123.309561,11,0.9263888597488403
1702802123.457219,12,0.9263888597488403
1702802123.606325,13,0.9280555844306946
1702802123.76913,14,0.9291666746139526
1702802123.924127,15,0.9283333420753479
1702802124.073824,16,0.9269444346427917
1702802124.223781,17,0.9269444346427917
1702802124.381748,18,0.9266666769981384
1702802124.532662,19,0.9272222518920898
1702802124.68197,20,0.9288889169692993
1702802124.837115,21,0.9272222518920898
1702802124.995814,22,0.9283333420753479
1702802125.14729,23,0.9311110973358154
1702802125.293326,24,0.926111102104187
1702802125.438938,25,0.9269444346427917
1702802125.586135,26,0.929722249507904
1702802125.729995,27,0.9277777671813965
1702802125.879739,28,0.9288889169692993
1702802126.050884,29,0.9280555844306946
1702802126.197391,30,0.9263888597488403
1702802126.434368,31,0.9275000095367432
1702802126.586477,32,0.9286110997200012
1702802126.747892,33,0.9255555272102356
1702802126.903889,34,0.9280555844306946
1702802127.060437,35,0.9286110997200012
1702802127.214423,36,0.9313889145851135
1702802127.376765,37,0.9277777671813965
1702802127.530056,38,0.9286110997200012
1702802127.685673,39,0.929444432258606
1702802127.845321,40,0.9302777647972107
1702802128.005123,41,0.9283333420753479
1702802128.16857,42,0.9272222518920898
1702802128.359603,43,0.9288889169692993
1702802128.529427,44,0.9291666746139526
1702802128.698426,45,0.9288889169692993
1702802128.858296,46,0.9288889169692993
1702802129.011041,47,0.9288889169692993
1702802129.184819,48,0.9302777647972107
1702802129.348608,49,0.9291666746139526
