Wall time,Step,Value
1702802121.662257,0,0.8393612504005432
1702802121.855355,1,0.3287883400917053
1702802121.998748,2,0.23677502572536469
1702802122.146961,3,0.21891048550605774
1702802122.298626,4,0.21346266567707062
1702802122.44183,5,0.21283535659313202
1702802122.584089,6,0.2116287499666214
1702802122.728691,7,0.2105524092912674
1702802122.873457,8,0.20840147137641907
1702802123.01899,9,0.20780739188194275
1702802123.162698,10,0.2086741328239441
1702802123.309177,11,0.2076825499534607
1702802123.456864,12,0.20641770958900452
1702802123.605941,13,0.20707455277442932
1702802123.768741,14,0.20666319131851196
1702802123.923735,15,0.20686928927898407
1702802124.073435,16,0.20643384754657745
1702802124.223422,17,0.2061336785554886
1702802124.381392,18,0.20872469246387482
1702802124.532307,19,0.20683670043945312
1702802124.681565,20,0.20526574552059174
1702802124.83675,21,0.2060040384531021
1702802124.995449,22,0.20638719201087952
1702802125.146902,23,0.20597484707832336
1702802125.292922,24,0.2067074477672577
1702802125.43858,25,0.20655356347560883
1702802125.58575,26,0.2049519419670105
1702802125.729643,27,0.20557597279548645
1702802125.879371,28,0.20561695098876953
1702802126.05052,29,0.20458245277404785
1702802126.197036,30,0.20474773645401
1702802126.434008,31,0.2063397914171219
1702802126.586079,32,0.20428617298603058
1702802126.747506,33,0.2056640386581421
1702802126.903537,34,0.2032676488161087
1702802127.06009,35,0.205066978931427
1702802127.21404,36,0.20388911664485931
1702802127.376416,37,0.20403297245502472
1702802127.529688,38,0.20587880909442902
1702802127.685311,39,0.20427605509757996
1702802127.844929,40,0.2047884315252304
1702802128.004767,41,0.20342665910720825
1702802128.168204,42,0.20580708980560303
1702802128.358796,43,0.2027725726366043
1702802128.52905,44,0.20255374908447266
1702802128.697968,45,0.20331981778144836
1702802128.857915,46,0.2029438614845276
1702802129.010663,47,0.20342932641506195
1702802129.184439,48,0.20295827090740204
1702802129.348243,49,0.20564515888690948
