Wall time,Step,Value
1702896471.04716,0,0.6648333072662354
1702896489.013574,1,0.8943166732788086
1702896508.664057,2,0.9342833161354065
1702896528.22448,3,0.9509999752044678
1702896548.73094,4,0.9590499997138977
1702896568.947221,5,0.964033305644989
1702896589.06547,6,0.9680500030517578
1702896607.854302,7,0.9715333580970764
1702896626.958958,8,0.9740666747093201
1702896646.366737,9,0.9764000177383423
